time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-07T12:40:35.650Z,19.2351665496826,-155.396331787109,30.7700004577637,3.05999994,md,48,141,,0.140000001,hv,hv73170207,2022-10-07T12:43:53.790Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.59,0.730000019,2.73000002,40,automatic,hv,hv
2022-10-07T11:57:38.628Z,63.148,-171.7189,10.625,4,mb,43,179,0.63,0.61,us,us6000irsy,2022-10-07T12:15:09.040Z,"70 km S of Gambell, Alaska",earthquake,7.47,5.303,0.173,9,reviewed,us,us
2022-10-07T11:29:47.127Z,7.4159,94.3917,10,4.9,mb,54,122,3.343,0.6,us,us6000irsu,2022-10-07T12:02:27.040Z,"197 km NNW of Sabang, Indonesia",earthquake,9.51,1.889,0.092,37,reviewed,us,us
2022-10-07T10:40:23.660Z,18.8955,-67.6948,8,3.5,md,18,177,0.5547,0.68,pr,pr2022280000,2022-10-07T11:38:42.614Z,"Puerto Rico region",earthquake,2.18,2.41,0.08,10,reviewed,pr,pr
2022-10-07T09:52:01.238Z,52.3968,-170.6401,49.383,4.1,mb,68,174,1.94,0.77,us,us6000irse,2022-10-07T10:58:31.040Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,9.38,10.139,0.063,69,reviewed,us,us
2022-10-07T09:24:49.437Z,-15.1168,-172.9482,10,5.5,mww,36,110,1.648,0.44,us,us6000irs7,2022-10-07T11:27:58.332Z,"129 km NE of Hihifo, Tonga",earthquake,5.36,1.884,0.083,14,reviewed,us,us
2022-10-07T08:54:26.699Z,-22.281,-68.824,128.111,4.5,mb,18,55,0.619,0.56,us,us6000irs1,2022-10-07T12:37:29.040Z,"21 km NNE of Calama, Chile",earthquake,4.3,6.572,0.27,4,reviewed,us,us
2022-10-07T07:58:46.425Z,-16.0885,-174.4387,10,4.9,mb,35,101,2.58,2.47,us,us6000irru,2022-10-07T08:24:41.040Z,"70 km WSW of Hihifo, Tonga",earthquake,7.33,1.857,0.06,87,reviewed,us,us
2022-10-07T04:25:35.690Z,17.9793333333333,-66.9036666666667,12.61,2.59,md,12,114,,0.1,pr,pr71375338,2022-10-07T04:56:36.250Z,"0 km NNE of Guánica, Puerto Rico",earthquake,0.47,0.25,0.0592641866059849,6,reviewed,pr,pr
2022-10-07T03:19:15.054Z,60.956,-150.7755,44.3,3.4,ml,,,,0.5,ak,ak022cv4dku6,2022-10-07T10:43:24.524Z,"5 km NW of Point Possession, Alaska",earthquake,,1.8,,,automatic,ak,ak
2022-10-07T02:24:48.880Z,17.9643333333333,-66.7346666666667,10.18,2.79,md,11,215,,0.07,pr,pr71375323,2022-10-07T03:00:33.900Z,"3 km SSW of Tallaboa, Puerto Rico",earthquake,0.43,0.35,0.0288631560524863,3,reviewed,pr,pr
2022-10-07T01:39:21.230Z,17.9603333333333,-66.9988333333333,17.32,2.58,md,9,201,,0.13,pr,pr71375318,2022-10-07T02:15:59.550Z,"5 km ESE of La Parguera, Puerto Rico",earthquake,0.69,0.54,0.040025654605736,6,reviewed,pr,pr
2022-10-06T23:49:35.540Z,18.2821666666667,-67.2711666666667,86.83,3.19,md,26,149,,0.22,pr,pr71375298,2022-10-07T00:07:53.500Z,"5 km SSW of Stella, Puerto Rico",earthquake,0.96,0.65,0.0542865812162381,18,reviewed,pr,pr
2022-10-06T23:12:08.750Z,35.94133333,-97.89,6.3,3.42,ml,100,33,0,0.16,ok,ok2022tpru,2022-10-07T05:30:25.844Z,"4 km SSE of Dover, Oklahoma",earthquake,,0.3,0.2,29,reviewed,ok,ok
2022-10-06T21:12:39.620Z,17.9191666666667,-66.2596666666667,7.65,3.3,md,26,188,,0.28,pr,pr71375278,2022-10-06T22:36:29.674Z,"5 km SW of Central Aguirre, Puerto Rico",earthquake,0.47,0.71,0.0905312060879642,20,reviewed,pr,pr
2022-10-06T20:51:36.339Z,31.73264751,-104.0996984,9.242236328,2.7,ml,65,50,0.03532916279,0.3,tx,tx2022tpne,2022-10-07T09:44:55.882Z,"western Texas",earthquake,0.4800766235,0.6997116381000001,0.1,29,reviewed,tx,tx
2022-10-06T20:47:07.923Z,31.73564266,-104.0978304,7.262719727000001,3.2,ml,64,48,0.03490771315,0.2,tx,tx2022tpmz,2022-10-06T21:28:04.608Z,"47 km W of Mentone, Texas",earthquake,0.4732260614,0.6354995939,0.2,30,reviewed,tx,tx
2022-10-06T20:43:13.797Z,61.8387,-147.5485,34.9,4.9,ml,,,,0.55,ak,ak022ctr3qn3,2022-10-07T12:26:27.662Z,"6 km ENE of Glacier View, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2022-10-06T20:29:35.129Z,31.73468275,-104.1075209,7.674047852000001,2.9,ml,45,48,0.04229726902,0.2,tx,tx2022tpmk,2022-10-06T20:59:33.040Z,"48 km W of Mentone, Texas",earthquake,0.403035544,0.7471406834999998,0,6,reviewed,tx,tx
2022-10-06T19:42:08.340Z,19.3391666666667,-155.008,1.18,2.61,ml,44,210,,0.17,hv,hv73169432,2022-10-06T21:30:54.540Z,"17 km SSW of Leilani Estates, Hawaii",earthquake,0.56,0.33,0.0997398737715733,25,reviewed,hv,hv
2022-10-06T19:30:50.245Z,61.8518,-147.5401,28.9,4.1,ml,,,,0.55,ak,ak022ctqflju,2022-10-07T05:40:25.470Z,"7 km NE of Glacier View, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2022-10-06T19:27:40.991Z,-47.2179,-12.0812,10,5.1,mb,57,79,16.929,0.65,us,us6000irm5,2022-10-06T19:47:36.040Z,"southern Mid-Atlantic Ridge",earthquake,12.32,1.908,0.079,57,reviewed,us,us
2022-10-06T18:14:17.522Z,37.156,141.1921,19.25,4.5,mb,33,133,2.47,1.1,us,us6000irlq,2022-10-06T19:13:04.040Z,"29 km ENE of Iwaki, Japan",earthquake,4.12,4.858,0.09,36,reviewed,us,us
2022-10-06T16:36:09.782Z,27.6203,126.9115,177.317,5.3,mww,105,30,1.442,1.31,us,us6000irks,2022-10-06T17:00:44.700Z,"154 km NW of Nago, Japan",earthquake,6.22,5.778,0.061,26,reviewed,us,us
2022-10-06T16:14:52.000Z,35.9455,-97.8955,4.03,2.71,ml,89,33,0,0.43,ok,ok2022tpea,2022-10-06T16:33:15.735Z,"4 km SSE of Dover, Oklahoma",earthquake,,0.7,0.23,37,reviewed,ok,ok
2022-10-06T15:56:47.865Z,-1.9167,-78.0148,159.265,4.3,mb,28,64,0.421,1.04,us,us6000irkf,2022-10-06T22:06:01.040Z,"24 km SSW of Palora, Ecuador",earthquake,7.77,4.423,0.129,20,reviewed,us,us
2022-10-06T15:53:46.640Z,31.621,-116.0356667,4.8,2.77,ml,15,187,0.314,0.1,ci,ci40356672,2022-10-06T23:23:12.393Z,"51km ESE of Maneadero, B.C., MX",earthquake,0.38,31.61,0.144,68,reviewed,ci,ci
2022-10-06T14:02:59.710Z,35.94183333,-97.8895,6.26,2.88,ml,100,36,0,0.18,ok,ok2022tozr,2022-10-06T23:31:39.343Z,"4 km SSE of Dover, Oklahoma",earthquake,,0.4,0.23,38,reviewed,ok,ok
2022-10-06T12:11:08.400Z,33.2083333,-115.5425,6.99,2.79,ml,52,95,0.06862,0.22,ci,ci40356608,2022-10-06T22:04:05.450Z,"4km SSW of Niland, CA",earthquake,0.27,0.55,0.186,27,reviewed,ci,ci
2022-10-06T12:03:35.730Z,33.2041667,-115.5441667,5.8,2.84,ml,49,95,0.06558,0.23,ci,ci40356576,2022-10-06T21:36:28.649Z,"5km SSW of Niland, CA",earthquake,0.31,0.55,0.163,27,reviewed,ci,ci
2022-10-06T11:13:42.100Z,35.9415,-97.891,5.52,2.78,ml,97,33,0,0.16,ok,ok2022toub,2022-10-06T15:04:24.626Z,"4 km SSE of Dover, Oklahoma",earthquake,,0.3,0.21,34,reviewed,ok,ok
2022-10-06T08:11:57.570Z,17.9193333333333,-66.2633333333333,7.73,3.01,md,29,188,,0.25,pr,pr71375223,2022-10-07T11:50:17.897Z,"5 km SW of Central Aguirre, Puerto Rico",earthquake,0.49,0.93,0.138048166870744,18,reviewed,pr,pr
2022-10-06T07:31:05.879Z,61.2814,-139.5702,1.306,2.9,ml,22,78,0.835,0.38,us,us6000ire9,2022-10-06T08:16:26.040Z,"126 km WNW of Haines Junction, Canada",earthquake,2.94,2.614,0.042,76,reviewed,us,us
2022-10-06T07:20:40.110Z,17.9945,-66.9871666666667,8.69,2.63,md,37,140,,0.28,pr,pr71375198,2022-10-06T08:11:57.760Z,"6 km ENE of La Parguera, Puerto Rico",earthquake,0.36,0.68,0.205833083211674,17,reviewed,pr,pr
2022-10-06T07:07:30.395Z,61.2736,-139.5884,1.301,2.5,ml,20,101,0.824,0.29,us,us6000ire3,2022-10-06T07:54:59.040Z,"126 km WNW of Haines Junction, Canada",earthquake,1.9,9.548,0.047,60,reviewed,us,us
2022-10-06T07:03:41.019Z,18.1861,-103.3991,35,4.4,mb,70,208,2.517,0.83,us,us6000ire2,2022-10-06T16:59:45.365Z,"offshore Michoacan, Mexico",earthquake,10.61,1.996,0.041,168,reviewed,us,us
2022-10-06T06:54:37.419Z,37.8699,-117.4765,0.3,2.9,ml,19,106.78,0.276,0.1738,nn,nn00848686,2022-10-06T15:41:08.306Z,"18 km NE of Silver Peak, Nevada",earthquake,,2.4,0.59,11,reviewed,nn,nn
2022-10-06T05:29:53.930Z,34.0243333,-117.2246667,11.33,2.54,ml,98,17,0.09389,0.15,ci,ci40356424,2022-10-06T20:38:01.526Z,"4km SE of Loma Linda, CA",earthquake,0.11,0.2,0.212,24,reviewed,ci,ci
2022-10-06T05:20:32.729Z,0.8012,126.2862,51.468,4.5,mb,32,66,1.081,0.44,us,us6000ircy,2022-10-06T05:55:46.040Z,"122 km W of Ternate, Indonesia",earthquake,7.4,8.642,0.135,17,reviewed,us,us
2022-10-06T05:18:31.732Z,61.2843,-139.5922,1.166,3.9,mb,44,57,0.083,0.97,us,us6000ircv,2022-10-07T01:56:17.342Z,"Southern Yukon Territory, Canada",earthquake,0.73,9.37,0.137,14,reviewed,us,us
2022-10-06T03:50:20.756Z,-55.9677,-28.1194,123.27,5.3,mww,102,44,5.09,0.78,us,us6000irbu,2022-10-06T04:24:25.040Z,"South Sandwich Islands region",earthquake,10.21,4.481,0.089,12,reviewed,us,us
2022-10-06T02:02:23.973Z,-58.7208,-25.1762,35,5.1,mb,64,90,15.854,0.66,us,us6000irav,2022-10-06T03:42:32.040Z,"South Sandwich Islands region",earthquake,12.24,1.827,0.073,60,reviewed,us,us
2022-10-06T01:05:03.096Z,-58.6872,-25.2151,35,4.9,mb,29,90,7.639,0.26,us,us6000irab,2022-10-06T03:36:35.040Z,"South Sandwich Islands region",earthquake,6.15,1.91,0.117,23,reviewed,us,us
2022-10-06T00:24:43.130Z,35.94016667,-97.89166667,5.47,3.19,ml,100,44,0,0.17,ok,ok2022tnyr,2022-10-06T16:02:32.431Z,"4 km SSE of Dover, Oklahoma",earthquake,,0.3,0.24,35,reviewed,ok,ok
2022-10-06T00:19:06.260Z,18.9458333333333,-65.0386666666667,31.35,3.06,md,17,265,,0.52,pr,pr71375168,2022-10-06T00:38:23.620Z,"67 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.64,12.62,0.179801938093256,11,reviewed,pr,pr
2022-10-06T00:06:18.680Z,19.0046666666667,-65.0645,14.93,3.36,md,15,267,,0.51,pr,pr71375148,2022-10-06T00:29:11.660Z,"74 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,4.64,9.64,0.0454103499361045,11,reviewed,pr,pr
2022-10-05T23:48:28.294Z,15.2106,145.6432,10.839,4.8,mb,42,70,14.957,0.67,us,us6000ir99,2022-10-06T00:54:38.245Z,"11 km W of Saipan, Northern Mariana Islands",earthquake,14.24,5.088,0.075,54,reviewed,us,us
2022-10-05T23:09:02.490Z,19.2301666666667,-155.397833333333,33.29,2.97,md,48,143,,0.12,hv,hv73168317,2022-10-07T00:17:23.700Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.42,0.53,0.0692185099164488,17,reviewed,hv,hv
2022-10-05T22:16:48.888Z,62.9779,-150.4415,98.9,4.8,ml,,,,0.8,ak,ak022cs4ljsx,2022-10-06T22:23:06.016Z,"56 km NNE of Petersville, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2022-10-05T19:09:00.115Z,-7.4884,128.8923,134.268,4.4,mb,17,134,2.435,1.12,us,us6000ir62,2022-10-05T20:34:30.040Z,"Kepulauan Barat Daya, Indonesia",earthquake,8.74,10.931,0.179,9,reviewed,us,us
2022-10-05T19:04:11.760Z,38.7641,142.0417,64.08,4.8,mb,61,96,2.158,0.61,us,us6000ir61,2022-10-05T21:12:35.392Z,"44 km SE of Ōfunato, Japan",earthquake,7.33,7.076,0.072,59,reviewed,us,us
2022-10-05T18:16:49.163Z,-58.6985,-25.1038,10,5.1,mb,50,85,7.695,0.71,us,us6000ir5p,2022-10-05T18:33:58.040Z,"South Sandwich Islands region",earthquake,11.4,1.884,0.073,61,reviewed,us,us
2022-10-05T16:40:41.219Z,-22.6875,-70.5202,29.049,4.1,mwr,15,179,0.876,0.35,us,us6000ir52,2022-10-06T04:50:44.040Z,"73 km SSW of Tocopilla, Chile",earthquake,4.25,9.032,0.086,13,reviewed,us,us
2022-10-05T16:17:18.676Z,-58.6754,-25.2007,31.803,5.3,mb,77,84,7.64,0.35,us,usd000i6b2,2022-10-05T16:51:21.040Z,"South Sandwich Islands region",earthquake,10.76,5.373,0.062,91,reviewed,us,us
2022-10-05T15:08:55.520Z,42.3367,-126.0595,10,2.6,ml,21,249,1.571,0.46,us,us6000ir4k,2022-10-06T04:32:40.040Z,"135 km W of Gold Beach, Oregon",earthquake,4.3,2.015,0.043,70,reviewed,us,us
2022-10-05T11:25:00.460Z,39.6975,-114.244,13.19,2.6,ml,13,138,0.7009,0.35,uu,uu60519342,2022-10-06T04:06:16.040Z,"56 km NE of McGill, Nevada",earthquake,1.25,5.23,0.148,16,reviewed,uu,uu
2022-10-05T10:14:41.656Z,37.2028,-115.0807,9.8,2.5,ml,36,89.78,0.205,0.1913,nn,nn00848597,2022-10-05T15:51:15.494Z,"19 km SSE of Alamo, Nevada",earthquake,,3.3,0.25,21,reviewed,nn,nn
2022-10-05T10:01:41.005Z,61.7507,-149.7759,36.2,3.7,ml,,,,0.63,ak,ak022crxd45r,2022-10-06T21:28:30.274Z,"13 km N of Houston, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2022-10-05T08:43:43.320Z,17.9371666666667,-66.9445,13.94,2.58,md,8,218,,0.07,pr,pr71375023,2022-10-05T09:59:58.850Z,"5 km SW of Guánica, Puerto Rico",earthquake,0.6,0.42,0.0982153126862797,5,reviewed,pr,pr
2022-10-05T08:38:12.130Z,19.2671666666667,-155.412833333333,32.34,3.42,ml,52,68,,0.12,hv,hv73167597,2022-10-06T08:39:57.328Z,"Hawaii region, Hawaii",earthquake,0.46,0.51,0.193748992876025,35,reviewed,hv,hv
2022-10-05T08:26:57.667Z,64.5649,-134.9487,10,4.5,mb,64,34,1.058,0.65,us,us6000ir0a,2022-10-05T08:53:56.040Z,"224 km ENE of Dawson City, Canada",earthquake,4.87,1.867,0.057,91,reviewed,us,us
2022-10-05T08:26:21.421Z,-4.912,-80.5599,48.333,5.8,mww,95,64,1.442,0.85,us,us6000ir0b,2022-10-06T08:29:29.679Z,"Peru-Ecuador border region",earthquake,7.8,5.817,0.071,19,reviewed,us,us
2022-10-05T06:27:29.954Z,51.3182,-179.5914,39.8,3.4,ml,,,,0.52,ak,ak022crv4xm3,2022-10-05T16:47:22.251Z,"214 km WSW of Adak, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2022-10-05T05:52:59.380Z,18.5123333333333,-66.8705,104.92,3.08,md,24,197,,0.19,pr,pr71374973,2022-10-05T06:48:24.440Z,"4 km NW of Camuy, Puerto Rico",earthquake,1.07,0.63,0.087776882627651,16,reviewed,pr,pr
2022-10-05T05:39:44.510Z,19.0178333333333,-155.450166666667,39.77,2.61,md,33,212,,0.15,hv,hv73167457,2022-10-05T23:03:24.930Z,"14 km ESE of Naalehu, Hawaii",earthquake,0.8,0.85,0.197342289618014,13,reviewed,hv,hv
2022-10-05T05:27:41.537Z,-5.176,151.4565,88.118,4.7,mb,32,61,5.984,1.08,us,us6000iqzf,2022-10-05T05:46:14.040Z,"New Britain region, Papua New Guinea",earthquake,9.98,5.688,0.106,27,reviewed,us,us
2022-10-05T04:52:06.515Z,28.50402832,-98.17486213,6.602783203000001,2.6,ml,20,88,0.02385944682,0.3,tx,tx2022tmlz,2022-10-05T22:45:25.040Z,"4 km N of Three Rivers, Texas",earthquake,2.738894671,1.776819747,0.1,11,reviewed,tx,tx
2022-10-05T04:51:30.350Z,37.3278333,-120.0411667,19.55,3.01,ml,90,43,0.1424,0.18,nc,nc73789551,2022-10-07T08:48:28.063Z,"19km SSW of Mariposa, CA",earthquake,0.19,0.15,0.144,57,reviewed,nc,nc
2022-10-05T03:47:00.010Z,19.7425003051758,-155.723327636719,31.7000007629395,2.66000009,md,44,122,,0.119999997,hv,hv73167382,2022-10-05T21:56:22.040Z,"22 km SSE of Waikoloa, Hawaii",earthquake,0.52,0.670000017,1.42999995,11,automatic,hv,hv
2022-10-05T03:28:16.253Z,59.9726,-152.8991,116.7,4.5,ml,,,,0.58,ak,ak022crtctc4,2022-10-06T21:17:12.433Z,"63 km WNW of Anchor Point, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2022-10-05T03:12:06.410Z,17.9518333333333,-66.9851666666667,10.08,2.83,md,13,211,,0.11,pr,pr71374943,2022-10-05T03:57:41.790Z,"6 km ESE of La Parguera, Puerto Rico",earthquake,0.37,0.4,0.0915127417681147,9,reviewed,pr,pr
2022-10-05T02:41:30.471Z,55.1025,-159.3275,25.8,3.3,ml,,,,0.46,ak,ak022crsu797,2022-10-05T16:43:35.676Z,"78 km ESE of Sand Point, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2022-10-05T02:41:06.710Z,18.1793,-68.0205,99,3.76,md,21,213,0.4921,0.58,pr,pr2022278000,2022-10-05T03:23:48.818Z,"60 km SE of Punta Cana, Dominican Republic",earthquake,3.86,2.37,0.12,11,reviewed,pr,pr
